lang,seamlessm4t,whisper,seamlessm4t_train,whisper_train,seamlessm4t_test,whisper_test,seamlessm4t_dev,whisper_dev
glg_Latn,35.34554098470459,27.848423672115583,35.581582563338245,28.120154586897243,34.1228938264748,26.741594041994343,36.303493886143364,28.218552492393535
zsm_Latn,31.027522625052715,24.289294885601564,31.25723837242416,24.5540754554119,30.176105867006115,23.31956158038629,30.897633564401094,24.145731560502796
zho_Hans,22.096608240090656,14.274270684202676,21.692055515993246,13.954096787031887,23.028413933387657,15.118493817795553,22.62544100529133,15.405622001284867
tgl_Latn,25.77520553259921,21.088562034722973,26.110847309018947,21.03562674554836,24.90395387271293,21.267092646295485,25.286096065836357,21.076790412819854
hun_Latn,28.039904618063158,17.377230460738488,28.020369832257213,17.68410369063792,27.881324897161836,16.869897543082,28.62859059635246,15.778574045646286
est_Latn,29.93349210946515,14.703827358073937,29.475166787890878,13.8410867061516,31.092525185031832,17.063877067747505,30.82294058863892,17.157380978101916
bul_Cyrl,33.37003266579217,26.559554027106152,33.46801227098736,26.375011082271218,32.81753311573853,27.147235449747864,33.73000714906461,26.979589072750336
deu_Latn,36.46551492409774,32.151271524029966,36.37170310233111,31.889491635689577,36.186380688138314,33.036306463744914,38.01691313662398,32.52831141930095
mal_Mlym,24.627869402603263,9.416987419279428,24.437785779685807,8.848385844979546,24.842763883713936,10.973117908506751,25.93590744995288,11.208816189383976
azj_Latn,18.163374853919255,10.788330730679643,18.16052325056136,10.545165078889264,18.223631408149572,12.36997552661467,18.038693458197343,9.370844954946504
cym_Latn,33.16653998579642,8.861637527552052,32.72115446095477,9.070544503428854,33.424275015498154,7.842095580865952,36.85337837052374,9.990629302669154
luo_Latn,1.3229028802075757,0.9403255057876063,1.3686569132147512,0.925934223300112,0.9016708811310353,1.0009474843223527,1.3582887695123544,1.1240267551389633
guj_Gujr,29.861505892421217,10.390689858805523,29.826195076658237,9.939881042424021,29.384124433693483,12.312728390913675,31.380089748046803,10.22647113523059
amh_Ethi,18.523648563853158,0.7559452413776474,17.77475988546719,0.678521115921013,20.938860482393835,1.4098485350535226,21.756086242771044,0.6522024778808513
lvs_Latn,28.466137103309894,12.849647762250454,27.86754072338201,12.100956884042258,29.637621562297856,14.618522335898911,30.75798615519839,15.264288446114435
hrv_Latn,31.694321609257518,24.695752573693536,31.81044051288966,24.61207007002282,30.642226892080004,24.211923910296694,32.890083410450174,26.814938427188657
