lang,train_whisper_asr_cer_mean,train_whisper_asr_cer_std,train_whisper_asr_wer_mean,train_whisper_asr_wer_std,train_seamlessm4t_asr_cer_mean,train_seamlessm4t_asr_cer_std,train_seamlessm4t_asr_wer_mean,train_seamlessm4t_asr_wer_std,dev_whisper_asr_cer_mean,dev_whisper_asr_cer_std,dev_whisper_asr_wer_mean,dev_whisper_asr_wer_std,dev_seamlessm4t_asr_cer_mean,dev_seamlessm4t_asr_cer_std,dev_seamlessm4t_asr_wer_mean,dev_seamlessm4t_asr_wer_std,test_whisper_asr_cer_mean,test_whisper_asr_cer_std,test_whisper_asr_wer_mean,test_whisper_asr_wer_std,test_seamlessm4t_asr_cer_mean,test_seamlessm4t_asr_cer_std,test_seamlessm4t_asr_wer_mean,test_seamlessm4t_asr_wer_std
kan_Knda,0.21015891313427168,0.1812689712632215,0.7376594178916267,0.2561060266769627,0.11418889070228072,0.09210059476281401,0.361722681860697,0.19603717584513425,0.17508514333484526,0.16308074422411323,0.677515925892613,0.17393674204537046,0.09673513513555328,0.06915611423368291,0.31852702272570593,0.17319549045168298,0.19722106184019325,0.3229858709549478,0.7061790494300664,0.38621978115004135,0.10306527661818128,0.09316658678140968,0.32992515994973587,0.2072187071546944
lug_Latn,0.5288418613276984,0.9866742272753192,1.3703413992583033,1.3657354457067818,0.14880063477280214,0.14532634030050465,0.5511978747035672,0.236441393483186,0.3119909149638006,0.31455936902449994,1.1325628168678317,0.524357384838285,0.11885642567431169,0.09749637812169226,0.5221093676103132,0.2544690700751325,0.3090947242754897,0.2751487191279984,1.0931993819109198,0.4168274022671084,0.12442580232111344,0.10146799955568872,0.5199599708096776,0.21862453540475446
jav_Latn,0.2598551609005375,0.3846810618579204,0.7482219849016667,0.42344096472477827,0.11600759166726139,0.1188329919976543,0.40081771754402196,0.17601029078740327,0.3074164714276439,0.5073196167443216,0.7959594580862892,0.5215102577537848,0.11015854193797399,0.09678024116367125,0.40227534553902466,0.16550994390502047,0.2852485786311216,0.6492079362500945,0.7708429121509683,0.6819183843596198,0.10889808008621531,0.08958902743459178,0.4042959766982427,0.16523931235270228
ita_Latn,0.02316833918919209,0.028578412166718154,0.09118785580537661,0.08438714703333944,0.05458970357340224,0.09393219681837893,0.13179590572399985,0.11684961164961447,0.017846963183372172,0.024834594237231108,0.07292520951114614,0.0753301240721851,0.03714452822487477,0.06494303531379184,0.10143282813160527,0.10849436349623125,0.01727039356972832,0.023179498368637218,0.0735571459698941,0.07390920790882055,0.047197698378211805,0.08213973030504852,0.12096509386335245,0.11366047551566547
lit_Latn,0.0836741639830482,0.09312311054383644,0.32030060050431497,0.27145308069367613,0.12504073620332096,0.1833998417917257,0.27348618065136043,0.20043882696446813,0.0864065573730564,0.053297738167085745,0.3294606339368044,0.14551076335696247,0.09399571377104868,0.11841576916445716,0.23235857059812118,0.16575872157537386,0.07588010537545688,0.045930973779760007,0.31605408089345655,0.14241708702610495,0.10719442943365652,0.15479720934214808,0.25886286445528867,0.17273147343173267
kir_Cyrl,0.2909362521013851,0.16200619340021197,0.9053368814494633,0.19935526876571424,0.09232197018765487,0.11496107539751275,0.24736678383637653,0.21230874312206557,0.2639753506943488,0.06259873136936216,0.8786871391712047,0.12667413043028297,0.07776410416945485,0.08925222968838094,0.21474037630664194,0.17653480389133705,0.27979482069263645,0.3257685892685696,0.8870941097904165,0.21231338642611788,0.08336298608486063,0.11035897658292296,0.2276816532647497,0.19847373052935524
hau_Latn,0.33307189099348533,0.2148975492728408,0.9166788606812548,0.19567633422722688,0.5250002833450447,0.48016496840699474,1.1263066013745218,0.7847381108146965,0.3132015921278045,0.12386305824558201,0.9008839673145284,0.12303221651830215,0.41307842938976813,0.22983503730456872,0.9947600040655833,0.3010607136189378,0.3429023438117905,0.2730386198219128,0.9184398299812315,0.24180572167934664,0.5107104288721146,0.6036259465241,1.1486048485573617,1.0787525691919069
fra_Latn,0.026311574099051705,0.04087760987332557,0.09915515277895737,0.10174227851770505,0.06511813369232011,0.096455993826752,0.17845080297053237,0.13349328374690336,0.0318830119889727,0.03832771277389972,0.10650322751601772,0.10347006613934968,0.05410168677808121,0.06863173355697873,0.15695723757850677,0.13168745744657956,0.032611415206656134,0.03228580511659322,0.12285577098569188,0.10240025819138007,0.0658851408159289,0.08409774153367452,0.18346194996743126,0.12837023395363406
hye_Armn,0.18750786343637882,0.27173295928755004,0.6332112996068482,0.4800538516847548,0.09275850704170324,0.10530806061792715,0.27447714003499263,0.159468699639641,0.14632115421323738,0.1546089243245836,0.5546801792381265,0.31271787060758277,0.0749327260622037,0.08003539747631398,0.2548591448356212,0.15287357996040268,0.16243841708433782,0.21620662693485115,0.5763212599286947,0.3888836388169028,0.08671799400277162,0.09890400606061568,0.27377221302184623,0.16319576712323727
asm_Beng,0.9905668597688266,0.27825184974253486,1.2099044180265837,0.7152602209173239,0.1550271588126033,0.09086021871898065,0.42446687176593706,0.17398643907993525,0.9690487489352487,0.19873176526441153,1.2012231927128023,0.5357822715504514,0.14250567744864506,0.08563012779919876,0.4016182443209473,0.16411789057763257,0.9981051298320713,0.2953780972854907,1.1983216094211238,0.5692744434222099,0.14601426180371865,0.07740471214427495,0.4181941704347116,0.16351520485090948
